id,name,brand,price,dept,description
282,Allen Wrench,Ampco,11.99,7,"The Allen Wrench is a versatile tool used for tightening and loosening bolts, screws, and other fasteners. It is made up of a hexagonal-shaped head that fits into a socket and is used when a standard screwdriver will not fit. It is designed to provide maximum torque and is available in a variety of sizes to fit different types of fasteners. The Allen Wrench is a handy tool that can be used in a variety of applications and is a must-have for any toolbox."
283,Tin Snips,Forney,13.99,7,"Tin Snips are a type of cutting tool used for cutting sheet metal and other thin materials. They are designed for cutting straight lines and curved lines, making them a versatile tool for home and professional use. They can be used to cut through both thin and thick metals with ease."
284,Velcro,3M,0.97,7,"Velcro is a fastening system consisting of two pieces of fabric with a dense pile on one side and tiny hooks on the other. This allows for easy and secure fastening, making it perfect for a variety of uses such as clothing, accessories, and home decor. It is strong and durable, yet can be easily opened and closed. Velcro is an ideal solution for any situation where a secure fastening is needed."
285,Carpet Knife,Carpet Knife,9.99,7,"A carpet knife is a specialized tool designed to easily and effectively cut through thick carpets. It features a sharp, serrated blade and a comfortable handle for ease of use. The carpet knife is perfect for cutting through carpets for installation, repair or remodeling projects."
286,Shelving Unit,Ikea,29.99,21,"This shelving unit is perfect for any room in your home or office. Made of sturdy metal with a black finish, it features five shelves that are adjustable and can be used to store books, documents, electronics, or other objects. It has an open back design that allows easy access to stored items and a simple, stylish look that complements any décor."
287,Plastic Bin (small),Sterilite,7.99,23,This plastic bin is perfect for small storage solutions. It is made of durable plastic and comes in a variety of colors. Its size makes it perfect for keeping small items organized and easily accessible. Its sleek design and lightweight construction make it easy to move around and store away when not in use. Its sturdy construction ensures that your items stay safe and secure.
288,Plastic Bin (medium),Rubbermaid,24.99,23,"This medium-sized plastic bin is perfect for storing and organizing items in the home or office. It is made of durable and lightweight plastic, making it easy to carry and move around. It features a transparent lid for easy visibility and access to the contents, and is stackable for efficient use of space. The bin is ideal for storing toys, books, office supplies, and other small items."
289,Plastic Bin (large),Rubbermaid,29.99,23,"This large plastic bin is great for organizing and storing items in any room of your home. The bin is made of durable plastic and comes in a variety of sizes and colors. It features a lid that snaps on and off with ease, and two built-in handles for easy carrying. The bin is perfect for storing and organizing items like books, clothes, toys, tools, and more."
290,Adirondack Chair,Best Choice Products,64.99,14,"The Adirondack Chair is a timeless classic. This comfortable, stylish chair is perfect for outdoor relaxation. Designed with a wide, curved back and generous armrests, it is made from durable, weather-resistant materials for long-lasting use. Its slatted design provides excellent support and ventilation, while its wide seat and built-in footrest make it perfect for spending hours outdoors. Whether you’re looking for a place to relax on the patio or a cozy spot to enjoy a summer evening, the Adirondack Chair is sure to be a hit."
291,Baseball Glove,Rawlings,59.99,10,"This baseball glove is perfect for playing the game. Made from durable leather and featuring an adjustable wrist strap for a secure fit, it is the perfect tool for catching and throwing the ball. With its ergonomic design, this glove ensures comfort and stability while playing. Its classic design and quality construction make it a great choice for any baseball fan."
292,Golf Glove,Titleist,24.99,10,"The Golf Glove is designed to give golfers a comfortable, secure grip on their clubs. It is made from lightweight, breathable material for maximum comfort and flexibility. The palm area is padded for extra comfort and the Velcro strap ensures a secure fit. The glove is available in a variety of sizes and colors to match any golfer's needs."
293,Batting Glove,Nike,19.99,10,Batting gloves are designed to provide a secure and comfortable grip while playing baseball or softball. They are constructed from durable materials and feature a snug fit to ensure that your hands stay in place while swinging the bat. The gloves also provide protection from blisters and other hand injuries.
294,Alignment Sticks,Titleist,5.99,10,"Alignment Sticks are a great way to improve your golf game. They help you to align your body correctly to ensure an accurate and consistent swing. The sticks are lightweight and portable, making them easy to transport and store. The brightly coloured sticks are visible from a distance and can be used to mark target areas, as well as for setting up practice drills. They are a great tool for improving your aim, accuracy, and consistency."
295,Bubble Bath,Dr. Teal's,6.99,18,"This Bubble Bath is a luxurious and relaxing way to end the day. Packed with natural ingredients, the gentle formula is designed to leave your skin feeling soft, nourished and moisturized. The rich lather creates an abundance of bubbles to enjoy while soaking in a warm bath. Enjoy a blissful escape with this Bubble Bath and indulge in a spa-like experience in the comfort of your own home."
296,Flour,Gold Medal All-Purpose Flour,2.48,12,"Flour is a powder made from grinding grains, most commonly wheat, that is used to make bread, cakes, and other baked goods. It is a staple ingredient in many kitchens and can also be used to thicken sauces and gravies."
297,Sugar,C&H,4.69,12,"Sugar is a naturally occurring sweetener made from the dried and processed juice of sugarcane. It is commonly used as a sweetener in many foods and beverages and can be used in baking and cooking. It has a very sweet taste and is often used to enhance the flavor of food. Sugar is also a popular ingredient in many processed foods, such as cereal and candy."
298,Semolina Flour,Kuner's,1.99,12,"Semolina Flour is a coarsely ground flour made from durum wheat. It has a yellowish-white color and is high in protein, vitamins, and minerals. It is often used in pasta, breads, and couscous. Semolina Flour can also be used for thickening sauces and soups, and as a coating for fried food. It is a versatile flour that can be used in a variety of recipes."
299,Whole Wheat Flour,Kroger,2.69,12,"Our Whole Wheat Flour is milled from 100% whole wheat grains, providing a rich source of whole grain nutrition for your baking needs. The flour is perfect for baking breads, cookies, cakes, and other treats. It's high in fiber and protein, and is milled to a fine, consistent texture. Our Whole Wheat Flour is a great option for those looking to add more whole grains to their diet."
300,00 Flour,Bob's Red Mill,4.29,12,"00 Flour is a finely-milled Italian-style flour milled from soft wheat. It is commonly used for making pizza dough, focaccia, and other baked goods requiring a fine texture. It has a very fine texture and low gluten content, making it ideal for creating a light, airy texture in doughs. The flour also has a slightly sour taste, which helps to enhance the flavor of the dishes it is used in."
301,Cake Flour,Kroger,0.99,12,"Cake flour is a finely milled flour made from soft wheat with low protein content. It is often used in cakes, pastries and other baked goods to create a light, delicate texture. Cake flour is also ideal for making delicate, tender biscuits. It is often bleached for a whiter color, but unbleached cake flour is also available."
302,Powered Sugar,C&H,4.29,12,"Powered Sugar is a premium grade sugar that has been milled to a fine powder for a sweet, smooth texture. It is perfect for baking or adding a touch of sweetness to your favorite drinks and desserts. Its delicate texture gives it an ultra-fine consistency, making it easy to sprinkle and dissolve quickly. Powered Sugar is a must-have for any sweet tooth looking for that extra bit of sweetness."
303,Brown Sugar,Domino,2.19,12,"Brown Sugar is an all-natural, unrefined sweetener. It is made from evaporated cane juice and has a unique, caramel-like flavor. Brown Sugar is a great way to add a subtle sweetness to a variety of dishes and baked goods. It is also a great natural alternative to other sweeteners like white sugar and artificial sweeteners."
304,Plunger,Drain-FX,9.99,24,"The Plunger is a tool used to unclog blocked toilets or drains. It is designed with a long handle, a rubber suction cup, and a curved metal rod. It works by creating a seal between the rubber cup and the clogged surface, then using the metal rod to push and pull the plunger to dislodge the blockage. The Plunger is a simple and effective solution for quickly and easily unclogging toilets and drains."
305,Washer,Whirlpool,499,7,"This washer is a convenient and easy-to-use appliance that allows you to quickly and efficiently clean your clothes. It features a large capacity drum, multiple wash cycles, a delay start function, and a variety of other features to make it easier for you to get your clothes clean. It is designed for both residential and commercial use, and is built to last."
306,Wing nuts,Everbilt,0.97,7,"Wing nuts are a type of nut that can be easily tightened and loosened by hand without the use of tools. They are commonly used in light-duty applications as they require less torque to be applied than other nuts and bolts. They feature wings on either side of the nut which act as levers, allowing the nut to be easily tightened or loosened by hand. Wing nuts are often used in applications where frequent disassembly and re-assembly is necessary."
307,Bolts,Everbilt,0.97,7,"Bolts are a type of threaded fastener used to hold two or more pieces of material together. They come in a variety of materials, sizes, and styles, and can be used in a variety of applications, such as construction, automotive, and machinery. Bolts are available with a variety of head styles, including hexagonal, socket, slotted, and button heads, and can be secured using nuts or washers."
308,Measuring Tape,Tape Measure,10,7,"The Measuring Tape is a versatile tool for accurately measuring distances, areas, and volumes. It features a flexible blade for easy use in tight spaces and a lockable tab that keeps measurements in place. The easy-to-read markings make it ideal for contractors, carpenters, and DIYers who need precise measurements. The durable construction ensures long-lasting performance and accuracy."
309,Spatula,GoodCook,3.99,20,"A spatula is a kitchen utensil used to scrape, mix, and lift food items during cooking and serving. Spatulas are usually made of metal, plastic, or silicone, and can be flexible or rigid. They are commonly used to scrape bowls and remove cooked food from frying pans."
310,Ladle,Ladle,24.99,20,"This Ladle is a must-have kitchen utensil for any chef. Made from stainless steel, this Ladle is durable and has a long handle, making it perfect for serving soups, stews, and other liquid dishes. The wide bowl of the Ladle allows for easy scooping and pouring, and the handle is ergonomically designed for comfortable use. This Ladle is a great tool for any kitchen."
311,Wooden Spoon,IKEA,2.99,20,"This Wooden Spoon is crafted from natural, sturdy bamboo and is perfect for preparing and serving meals. The smooth, polished surface ensures it won't scratch cookware or serving dishes. The handle design is comfortable to grip and the spoons are lightweight, making them easy to use. The Wooden Spoon is a great addition to any kitchen and is dishwasher safe for easy cleaning."
312,Baking Sheet,Nordic Ware,24.99,20,"This baking sheet is made of heavy-duty aluminum and is ideal for baking cookies, pies, and other treats. It features raised edges that help keep food contained while baking and a non-stick coating for easy clean-up. It is also oven-safe up to 450°F."
313,Silicon Baking Mould,"""Fox Run",24.99,20,"This Silicon Baking Mould is the perfect tool for your baking needs. It is made of premium food-grade silicone, making it non-stick and easy to clean. It is heat-resistant and can withstand temperatures up to 500°F, perfect for baking cakes, cookies, breads, and more. With its flexible nature, it's easy to remove your creations with ease, and the mould can be reused over and over. This Silicon Baking Mould is a must-have for all bakers!"
314,Cake Pan,Cake Pan,9.99,20,"This cake pan is perfect for baking cakes, breads, and other delicious treats. It is made from a durable non-stick material that ensures even baking and easy release. The pan has a reinforced rim for stability and a non-slip silicone base for easy handling. The pan is also dishwasher safe for easy cleaning."
315,Bundt Cake Pan,Nordic Ware,24.99,20,"The Bundt Cake Pan is designed to make delicious, moist and fluffy cakes with a unique design. This pan is constructed of heavy-duty cast aluminum with a non-stick coating, making it durable and easy to clean. The unique shape of the pan allows for even baking, and the center tube helps your cakes bake evenly and rise higher. The pan is dishwasher-safe, making cleanup easy and convenient. Enjoy your favorite recipes with a unique, decorative touch with the Bundt Cake Pan."
316,Cupcake Tray,Wilton,14.99,20,"This cupcake tray is perfect for baking and displaying your cupcakes. Made of non-stick material, it can hold up to 20 cupcakes. It's easy to clean and has a sturdy construction that will last for years. Enjoy baking and displaying your delicious cupcakes with this cupcake tray."
317,Cooling Rack,Anchor Hocking,9.99,20,"This Cooling Rack is perfect for cooling your freshly-baked cakes, cookies, and pies. It is made of durable steel with a non-stick finish, making it easy to clean and perfect for a variety of baking tasks. The rack has an elevated design that allows air to circulate around the entire surface, ensuring even cooling. It is also great for presenting your finished desserts, and its slim design makes it easy to store in your kitchen."
318,Dish Detergent,Dishwashing liquid,1.99,12,"This dish detergent is designed to effectively clean dishes, pots, and pans, leaving behind a sparkling, streak-free finish. It is formulated with advanced cleaning agents, designed to penetrate tough grease and grime, and leave dishes sparkling clean. It also contains a pleasant, subtle fragrance that will leave your dishes smelling fresh and clean."
319,Rinse Aid,Finish,3.99,12,"Rinse Aid is a cleaning product designed to help remove spots, streaks, and residue from dishes and glasses after they have been cleaned in a dishwasher. It helps reduce spotting and filming caused by minerals in the water, and also helps dishes dry faster. It is easy to use and helps keep your dishes looking sparkling clean."
320,Window Cleaner,Windex,3.29,24,"Our Window Cleaner is a streak-free and ammonia-free formula that is designed to quickly and easily remove dirt and grime from windows, leaving them sparkling clean. It is safe to use on most window surfaces and is ideal for both indoor and outdoor windows. It is easy to use and leaves no residue or streaks."
321,Stainless Steel Cleaner,Stainless Steel Cleaner,9.99,24,"This stainless steel cleaner is a fast-acting and powerful cleaner that quickly removes dirt, grease, fingerprints, and other smudges from stainless steel surfaces. The non-abrasive formula is safe to use on a variety of surfaces including refrigerators, ovens, and dishwashers. The streak-free, residue-free formula leaves surfaces looking like new. The stainless steel cleaner is easy to use, simply spray, wipe, and rinse. The product is designed to leave your stainless steel surfaces looking clean, shiny, and free of dirt and grime."
322,Cleaning Wipes,Lysol Wipes,3.99,24,"Cleaning Wipes are an easy and convenient way to keep your home clean. These pre-moistened wipes remove dirt, dust, and grime quickly and easily. They are perfect for cleaning countertops, appliances, bathrooms, and more. The wipes are safe to use on all surfaces, and are hypoallergenic and biodegradable for added convenience. With their fresh scent, Cleaning Wipes will help make your home sparkle and shine."
323,Vase,Ikea,4.99,21,"This stylish vase is perfect for adding a touch of elegance to any room. Crafted from high-quality ceramic, it features a modern design with a glossy finish. It is perfect for displaying flowers, plants, and other decorative items, and makes a perfect addition to any home."
324,D Batteries,Energizer,4.99,8,"D Batteries are a type of cylindrical, primary cell battery commonly used in everyday electronic devices. They are commonly used in flashlights, toys, and other small electronics. They are larger than AA batteries and usually have a voltage of 1.5 volts. They have a longer life than AA batteries and are generally more powerful."
325,C Batteries,Energizer,5.99,8,C batteries are a type of cylindrical dry cell battery commonly used in portable electronic devices. They are typically made from two or more electrochemical cells and are designed to provide long-lasting and reliable power. C batteries are also known for their relatively low cost and easy availability.
326,Corn,Kernel's Gourmet Popcorn,4.99,12,"Corn is a popular vegetable that is versatile and easy to prepare. It is a member of the grass family and grows in many different varieties, including white, yellow, and bi-colored. It is most often eaten as a side dish or used as an ingredient in a variety of recipes. It is high in fiber, vitamins, and minerals, and is a good source of plant-based protein. It is also naturally gluten-free and low in fat."
327,Coasters,Coasterstone,24.99,21,"These coasters are perfect for protecting your furniture from spills, condensation, and heat damage. Made from durable and attractive material, these coasters feature a modern design that will look great in any home. Perfect for entertaining guests or just everyday use, these coasters are sure to add a touch of style to any setting."
328,Mouse Pad,3M,9.99,8,"This mouse pad is perfect for both work and gaming. It has a non-slip rubber base that ensures that it will stay in place while in use. The smooth and durable surface is designed to provide accurate mouse tracking and precise cursor control. It is also waterproof, making it easy to clean and maintain."
329,Sconce,IKEA,19.99,21,This sconce is perfect for adding a touch of style and sophistication to any room. It features an elegant and timeless design with a brushed nickel finish and a white linen shade. The sconce also has adjustable arms for versatile lighting options. This beautiful accent piece is perfect for creating a cozy and inviting atmosphere in any room.
330,Curtains,IKEA,24.99,21,"Curtains are window treatments designed to block or filter light, drafts, and heat. They come in a variety of colors, fabrics, and styles and can be used to enhance the ambiance of any room. Curtains can be hung from a rod or track, and some styles feature a lining to provide extra insulation."
331,Curtain Rod,IKEA,9.99,21,"This curtain rod is perfect for any window, providing a stylish and functional way to hang curtains. It is made from durable metal and features a sleek, modern design that will add a touch of sophistication to any décor. The included mounting hardware makes installation easy, and the adjustable design allows you to customize the length to fit any window size. With its beautiful finish and easy setup, this curtain rod will make a great addition to any room."
332,Mirror,IKEA,9.99,21,"This Mirror is a modern, stylish addition to any home. It features a beveled glass frame and a sleek black finish that will bring contemporary elegance to any space. The mirror is perfect for any room, from the bedroom to the bathroom, as it will reflect light and create an open, airy effect. The high-quality construction ensures that the mirror will last for years to come."
333,Thermostat,Nest Thermostat,249,9,"The Thermostat is a device used to regulate temperature in a home or other enclosed environment. It can be programmed to maintain a specific temperature and can be adjusted manually when needed. It is easy to install and use, and can help save energy and money by ensuring temperatures stay at a comfortable level."
334,Scented Candle,Yankee Candle,27.99,21,This scented candle has a delightful scent that will fill your home with a pleasant aroma. The candle is made of natural soy wax for a clean burn and is housed in a beautiful glass jar with a modern design. The fragrance is long lasting and will leave your home smelling fresh and inviting. Light up this candle and relax in the cozy atmosphere it creates.
335,Air Freshener,"

Air Wick",4.99,21,"This air freshener helps to eliminate odors and freshen up any space. It is easy to use and comes in a variety of scents, so you can find one that fits your needs. It is great for use in your home, car, office, or any other space that needs a little freshening up."
336,Floor Cleaner,Windex,3.5,20,"Floor Cleaner is an all-purpose cleaning solution designed to easily and effectively remove dirt, grime and other messes from hard surfaces such as tile, marble, wood, and linoleum. It is made from natural ingredients and is safe to use on all household surfaces. It is designed to leave your floors sparkling clean and streak free."
337,Mop,Bissell,24.99,24,"The Mop is a cleaning tool designed for convenient and efficient cleaning tasks. It has a sturdy handle for easy maneuvering and a soft, absorbent head for cleaning floors, walls, and other surfaces. It also comes with a removable and washable microfiber cloth for extra scrubbing power. This mop is perfect for quick cleanups in kitchens, bathrooms, and other areas of the home."
338,Broom,O-Cedar,15.99,24,"Broom is a cleaning tool designed for sweeping dirt and debris from floors and other surfaces. It is typically made of bristles attached to a long handle for easy maneuvering. Broom is the perfect tool for keeping your home clean and free of dust, dirt, and other unwanted materials."
339,Activity Tracker,Fitbit,149.95,8,"This Activity Tracker is a perfect companion for anyone looking to track their fitness and health goals. It tracks daily steps, calories burned, distance, and sleep data. It also includes a heart rate monitor, so you can get an accurate measure of your health and fitness level. The tracker is waterproof and lightweight, so you can wear it comfortably all day. It also works with most smartphone apps and can help you stay motivated and reach your goals."
340,GPS Watch,Garmin,199.99,8,"This GPS Watch is a must-have for any active lifestyle. Featuring a lightweight and ergonomic design, it is comfortable to wear and provides accurate real-time tracking of your location. With a built-in heart rate monitor, accelerometer and compass, you will always know exactly where you are, no matter what terrain you are exploring. The GPS Watch also offers advanced features such as route sharing, route planning and navigation, along with other useful data like speed, altitude and distance. Perfect for the outdoors enthusiast, this watch is a great way to stay connected, informed and safe."
341,VR Headset,Oculus Rift,399,8,"The VR Headset is a virtual reality device that provides an immersive experience to its user. It uses advanced visual display technology to create a three-dimensional environment, allowing users to explore and interact with their environment in a realistic manner. The headset offers an unparalleled level of immersion, allowing users to truly experience the virtual world in a unique way. It is perfect for gaming, education, and entertainment purposes."
342,Wearable Camera,Canon,200,8,"The Wearable Camera is a compact and lightweight device that can be worn on your person. It is designed to capture high-quality photos and videos with a wide-angle lens. It is perfect for outdoor activities, family outings, and more. Thanks to its waterproof body and wireless connectivity, you can capture memories anywhere and anytime. With its easy-to-use design, you can quickly set up and start recording with a single button."
343,Doorbell,Ding Dong,30,9,"This doorbell is a stylish and modern way to greet your visitors. It has a sleek design and comes in a variety of colors to match any décor. It is easy to install and includes a built-in chime for an audible notification when visitors arrive. It is battery operated and comes with a long-lasting battery life. It also has a low-cost, low-maintenance design that won't require any additional wiring or installation."
344,Video Door Bell,Ring,149.99,8,"This Video Door Bell is a smart home security device that allows you to monitor and answer your front door from anywhere. It includes a HD camera with night vision, two-way audio, motion detection and alerts, and a mobile app for easy setup and control. This device is the perfect way to keep your home secure and provide peace of mind."
345,Smart Thermostat,Nest Thermostat,249,8,"The Smart Thermostat is an advanced, energy-saving device that allows you to easily control the temperature of your home. It is Wi-Fi enabled, giving you the ability to control the temperature from your smartphone, tablet, or laptop. With its intuitive user interface, you can set schedules for different temperatures throughout the day and night, or adjust the temperature quickly and easily with a few taps. The Smart Thermostat can even learn your preferences over time, allowing you to get the most out of your energy usage. Its energy-saving features will help you save money and keep your home comfortable."
346,Smart Glasses,Google Glasses,500,8,"Smart Glasses are a revolutionary way to stay connected and informed. Smart Glasses use augmented reality technology to provide hands-free access to important information such as weather forecasts, news, directions, and more. With the convenience of voice commands, you can easily access the data you need on the go. Smart Glasses are perfect for busy professionals, students, and travelers who need to stay informed and connected while on the go."
347,Watch Bands,Apple,49,8,"Watch Bands are designed to replace or upgrade existing watch straps, providing a more comfortable or stylish option. They come in a variety of sizes, materials, and colors to suit any style or fit. They are easy to install and are a great way to add a personal touch to any watch."
348,Subwoofer,Bazooka,129.99,8,"The Subwoofer is a high-performance audio device designed to provide powerful, deep bass sound. It is engineered to deliver powerful, intense bass with superior sound quality and clarity. Its compact design allows for easy installation and integration into any audio system. With its adjustable bass and treble controls, you can customize your sound to suit your audio needs."
349,Turntable,Audio-Technica,149,8,"The Turntable is a perfect solution for DJs and music enthusiasts alike. It allows for easy playback of vinyl records, with adjustable speed and pitch control for added sound customization. The turntable also features an aux input for connecting to other audio devices and an RCA output for connecting to audio systems. With its classic design and durable construction, the Turntable is a great choice for any music lover."
350,Reciever,Yamaha,399.99,8,"The Receiver is an advanced stereo sound system featuring an integrated amplifier and Bluetooth connectivity. It offers exceptional sound quality and provides a wide range of features such as an FM radio, multiple inputs, and a full-range speaker system. It is designed to provide a dynamic and immersive listening experience, with the ability to customize sound settings and presets to suit any room. It is perfect for anyone looking to upgrade their home audio system and enjoy superior sound quality."
351,Amplifier,Pioneer,129.99,8,"An amplifier is a device used to increase the amplitude of a signal, usually resulting in an increase in the power of the signal. It is used to boost the strength of weak signals and can be used in a variety of applications, such as audio systems, televisions, and radios."
352,Sound Bar,Sony,399.99,8,"The Sound Bar is a powerful and versatile speaker system that is designed to provide an immersive audio experience. Featuring an array of powerful speakers, advanced digital signal processing, and a sleek design, this sound bar is perfect for home theater systems and entertainment centers. It is equipped with Bluetooth technology for easy streaming of music and can be connected to a variety of devices, including televisions, gaming consoles, and computers. With its powerful audio output and comprehensive features, the Sound Bar is the ideal solution for creating a dynamic and immersive audio experience."
353,Floor Speaker,Sony,148,8,"This floor speaker is perfect for any home audio setup. It is designed with a high-quality construction to provide maximum sound clarity and clarity. It is equipped with a built-in amplifier and 5-way binding posts for easy connection to any audio source. The bass reflex port allows for deep and powerful bass response, while the tweeter ensures crisp and clear treble. This speaker is perfect for those who want to enjoy quality sound without sacrificing style."
354,Car Seat,Evenflo,129.99,6,"A car seat designed to keep children safe while travelling in a vehicle. It is designed to provide the highest level of protection and comfort for your child, with adjustable straps and headrests, and a cushioned seat and back panel. It is also designed to be easily installed in most vehicles."
355,Stroller,baby jogger,279.99,6,"The Stroller is a lightweight and durable stroller that is perfect for families on the go. It is designed to provide a comfortable ride for babies and toddlers and features an easy to use folding design for easy transport and storage. The adjustable handle and adjustable footrest make it easy to adjust for a comfortable ride. The Stroller also features a large storage basket, a canopy to protect your baby from the sun, and a five-point safety harness."
356,Curling Iron,Conair,24.99,18,"A curling iron is a styling tool used to create waves and curls in the hair. It is typically made of metal and is heated by electricity. It is used to style the hair in a variety of ways, from loose, beachy waves to tight, spiraled curls."
357,Hair Dryer,Conair,24.99,18,"This Hair Dryer is a professional grade tool with multiple heat settings and two speed settings for quick and convenient styling. With a lightweight and comfortable design, it is perfect for drying and styling all types of hair. The included concentrator nozzle helps to direct the airflow to the exact spot you need, while the cool shot button helps to set your style in place. The removable filter makes cleaning easy and the cord is long enough for easy maneuverability."
358,Razor Blades,Gillette,22.99,18,"Razor Blades are a sharp, metal blade used for shaving. They are designed for a close, smooth shave and feature a lubricating strip to reduce irritation. They are available in a variety of styles, sizes and shapes."
359,Disposable Razors,Bic,7.99,18,"Disposable Razors are a convenient and affordable way to achieve a smooth shave. Featuring multiple blades and ergonomic designs, they provide a close and comfortable shave while protecting the skin from nicks and cuts. Their disposable nature makes them ideal for travel, and they are easy to use and maintain."
360,Scissors,Fiskars,9.99,24,"Scissors are an essential tool for cutting through a variety of materials, from paper to fabric and even cardboard. They have a sharp, pointed blade and a handle for easy grip. Scissors are a great tool for any craft or DIY projects and are an essential item for any home or office."
361,Wood Glue,Elmer's,4.97,7,"Wood Glue is a strong, waterproof adhesive specifically formulated for bonding wood surfaces. It dries quickly and forms a long-lasting, durable bond that resists heat, moisture, and shrinking. It can be used to repair furniture, cabinets, trim, molding, and more. It is easy to use and clean up is a breeze."
362,Wood Putty,DAP,4.29,7,"Wood Putty is a lightweight, easy-to-use filler for repairing small holes, cracks and other imperfections in wood surfaces. It is ideal for use on furniture, cabinets, moulding, doors and more. It is easy to apply, dries quickly and can be stained, painted or varnished to match the existing wood. Wood Putty is great for filling in small gaps and creating a uniform, professional finish."
363,Drywall Anchors,Drywall Anchors,7.99,7,"Drywall anchors are fasteners that are used to secure items to drywall. They provide an easy and reliable way to hang items such as shelves, pictures, and mirrors without the need for screws or nails. Drywall anchors are available in a variety of sizes, materials, and styles to suit any application. They are easy to install and provide a secure hold for your items."
364,Nail Polish,Nails Inc,15,18,"Nail Polish is a product used to add color and shine to fingernails and toenails. It is available in a wide range of colors and finishes, from matte to glittery, and is commonly used to complete a look or make a fashion statement. Nail polish is typically applied with a brush and is long-lasting, making it a popular choice for both home and professional manicures and pedicures."
365,Nail Polish Remover,N.Y.C. Nail Polish Remover,1.99,18,"Nail Polish Remover is a product used to remove old or unwanted nail polish from fingernails and toenails. It is formulated with acetone and other ingredients that are designed to quickly and safely dissolve nail polish without damaging the nails or cuticles. It can be used on natural nails, acrylic nails, and gel nails."
366,Cotton Balls,Cotton Balls,1.99,18,"Cotton Balls are soft, fluffy, and perfect for a variety of uses, from applying lotions and creams to removing makeup. These 100% cotton balls are gentle on the skin and absorbent, making them ideal for countless beauty, health and household uses."
367,Shampoo,L'Oreal,4.99,18,"This shampoo is a gentle, moisturizing formula designed to nourish and protect the hair and scalp. It's enriched with natural ingredients such as aloe vera, coconut and jojoba oils, and vitamins A, C and E to provide nourishment and hydration. The mild cleansing agents help keep the hair and scalp clean and healthy. The light lather rinses off easily and leaves hair feeling soft, smooth and manageable."
368,Conditioner,Garnier Fructis,4.99,18,"This conditioner is specially formulated to deeply moisturize, nourish, and strengthen hair. It has a rich blend of natural ingredients, including argan oil, aloe vera, and jojoba oil, that work to restore hair's natural shine and luster. It also helps to detangle and smooth out rough and unruly hair, leaving it hydrated and manageable. Perfect for all hair types, this leave-in conditioner will leave your hair feeling soft, smooth, and healthy."
369,Loufa,Spongi,4.99,18,"The Loufa is a stylish and multi-functional organizer that fits perfectly onto your desk. It has five compartments to store your stationery and desk accessories, helping you stay organized and productive. The Loufa is made from sturdy and eco-friendly bamboo, and its design is modern and sleek. It is the perfect way to keep your workspace neat and tidy."
370,Body Wash,Nivea,5.99,18,"This body wash is a luxurious and gentle way to cleanse and nourish your skin. It contains natural ingredients such as aloe vera, chamomile, and lavender that help to soothe, moisturize, and refresh your skin. With a light, refreshing scent and creamy lather, this body wash is perfect for everyday use."
371,Bath Bomb,Lush,7.95,18,"Relax and unwind with our luxurious Bath Bomb. This fizzy, fragrant bath bomb is made with natural ingredients to soothe your skin and calm your senses. Infused with essential oils, it will help to relax your body and mind while providing a soothing, spa-like experience. Enjoy a luxurious, bubbly soak that will leave you feeling refreshed and rejuvenated."
372,Shower Bomb,Beautylish,8,18,"Shower Bomb is a luxurious and invigorating shower experience. It is a fizzy, citrus-scented tablet that is placed in the bottom of the shower to release a delightful aroma as the water cascades over it. Its essential oil and mineral-rich ingredients help to cleanse, purify, and relax body and mind. It is the perfect way to start or end your day."
373,Shower Cap,Shower Cap,1.99,18,"Keep your hair dry and comfortable with this stylish shower cap! This shower cap is made from waterproof material, and is designed to keep your hair and face dry while you shower. The elastic band ensures a snug fit, and the attractive design adds a touch of style to your bathroom. Enjoy a comfortable and dry showering experience with this shower cap."
374,Shaving Cream,Shaving Cream,3.99,18,"Shaving Cream is a thick, creamy lather that softens and lubricates the skin for a close shave. Formulated with natural ingredients like aloe vera and glycerin, this shaving cream helps protect against razor burn and irritation while providing a smooth glide for a comfortable shave. It also helps to lift the beard from the skin, allowing for a cleaner and closer shave. With its pleasant scent, Shaving Cream leaves skin feeling soft, smooth and refreshed."
375,Sewing Machine,Singer,199.99,26,"This Sewing Machine is a lightweight, portable, and easy-to-use device that allows you to stitch, hem, and mend fabric with precision and ease. It is perfect for crafting projects, alterations, and repairs. This machine features a flip-top cover that allows for quick and easy threading, and has multiple adjustable features to help you achieve the perfect stitch. It also has an automatic needle threader and reverse stitch capabilities for added convenience. With its powerful motor, this sewing machine will help you create beautiful and professional-looking projects in no time."
376,Sewing Needles,Dritz,2.49,26,"Sewing needles are an essential tool for any seamstress or tailor. They come in a variety of sizes and styles to accommodate various types of fabrics and projects. These needles are designed to penetrate fabric easily and provide a secure, consistent stitch. They are also highly durable and are capable of lasting through multiple projects."
377,Crochet Needles,Clover,9.99,26,"Crochet needles are the perfect tool for creating all kinds of crocheted items. They come in a variety of sizes and shapes, making them perfect for any project. They are also easy to use, making them ideal for beginners and experts alike. With crochet needles, you can easily make a variety of items, from blankets and hats to scarves and amigurumi."
378,Yarn,One skein of yarn,4.99,26,"Yarn is a versatile material used for knitting, crocheting, weaving, macrame, and other crafts. It is made from many different fibers, including wool, cotton, acrylic, and others. Yarn is available in a wide variety of colors, textures, weights, and sizes, making it a great choice for any project. It is also a great way to add texture and color to any project."
